id1,id2,id3,R2_N3_cv,R2_N3_fit
2,7,22,-3.208,0.505
2,7,23,-1.385,0.48
2,7,24,-1.306,0.662
2,7,25,-2.085,0.494
2,7,26,-0.807,0.571
2,7,27,-5.026,0.435
2,7,28,-2.909,0.644
2,7,29,-3.066,0.602
2,7,30,-2.067,0.493
2,7,31,-2.467,0.484
2,8,9,-3.038,0.403
2,8,10,-2.956,0.393
2,8,11,-2.389,0.391
2,8,12,-2.609,0.449
2,8,13,-2.123,0.478
2,8,14,-3.583,0.459
2,8,15,-1.352,0.671
2,8,16,-2.492,0.586
2,8,17,-1.222,0.639
2,8,18,-2.79,0.465
2,8,19,-2.365,0.435
2,8,20,-1.994,0.584
2,8,21,-2.667,0.479
2,8,22,-3.523,0.466
2,8,23,-1.447,0.472
2,8,24,-1.638,0.609
2,8,25,-2.184,0.475
2,8,26,-0.841,0.589
2,8,27,-5.765,0.383
2,8,28,-2.262,0.637
2,8,29,-3.294,0.52
2,8,30,-2.291,0.466
2,8,31,-2.53,0.45
2,9,10,-3.039,0.308
2,9,11,-2.451,0.355
2,9,12,-2.512,0.341
2,9,13,-2.076,0.337
2,9,14,-3.46,0.323
2,9,15,-1.376,0.62
2,9,16,-2.469,0.583
2,9,17,-1.164,0.664
2,9,18,-2.761,0.423
2,9,19,-2.383,0.404
2,9,20,-2.123,0.582
2,9,21,-2.503,0.502
2,9,22,-3.026,0.491
2,9,23,-1.311,0.448
2,9,24,-1.592,0.486
2,9,25,-2.196,0.475
2,9,26,-0.76,0.552
2,9,27,-4.393,0.331
2,9,28,-2.152,0.639
2,9,29,-3.236,0.44
2,9,30,-2.16,0.496
2,9,31,-2.412,0.481
2,10,11,-2.518,0.35
2,10,12,-2.84,0.345
2,10,13,-2.43,0.345
2,10,14,-3.858,0.334
2,10,15,-1.429,0.62
2,10,16,-2.645,0.582
2,10,17,-1.161,0.666
2,10,18,-2.891,0.424
2,10,19,-2.421,0.41
2,10,20,-2.25,0.576
2,10,21,-2.577,0.489
2,10,22,-3.08,0.468
2,10,23,-1.352,0.465
2,10,24,-1.651,0.473
2,10,25,-2.031,0.485
2,10,26,-0.826,0.53
2,10,27,-4.863,0.336
2,10,28,-2.124,0.649
2,10,29,-3.474,0.435
2,10,30,-2.233,0.486
2,10,31,-2.472,0.47
2,11,12,-2.29,0.36
2,11,13,-1.665,0.375
2,11,14,-2.316,0.428
2,11,15,-1.017,0.643
2,11,16,-2.045,0.617
2,11,17,-0.655,0.68
2,11,18,-1.915,0.457
2,11,19,-1.684,0.433
2,11,20,-1.264,0.652
2,11,21,-1.896,0.548
2,11,22,-2.8,0.536
2,11,23,-0.895,0.532
2,11,24,-0.976,0.575
2,11,25,-1.858,0.508
2,11,26,-0.651,0.544
2,11,27,-3.651,0.366
2,11,28,-1.833,0.638
2,11,29,-2.452,0.468
2,11,30,-1.472,0.527
2,11,31,-1.474,0.515
2,12,13,-2.61,0.333
2,12,14,-2.895,0.344
2,12,15,-1.128,0.646
2,12,16,-2.01,0.585
2,12,17,-0.952,0.691
2,12,18,-2.381,0.431
2,12,19,-1.714,0.428
2,12,20,-1.581,0.652
2,12,21,-2.509,0.544
2,12,22,-2.968,0.52
2,12,23,-1.258,0.504
2,12,24,-1.259,0.529
2,12,25,-1.659,0.582
2,12,26,-0.984,0.534
2,12,27,-3.679,0.382
2,12,28,-1.839,0.654
2,12,29,-2.683,0.488
2,12,30,-1.805,0.538
2,12,31,-2.07,0.519
2,13,14,-2.361,0.333
2,13,15,-0.825,0.648
2,13,16,-1.558,0.595
2,13,17,-0.562,0.7
2,13,18,-1.961,0.429
2,13,19,-1.538,0.424
2,13,20,-1.508,0.638
2,13,21,-1.922,0.538
2,13,22,-2.037,0.52
2,13,23,-0.882,0.494
2,13,24,-1.059,0.508
2,13,25,-1.54,0.567
2,13,26,-0.559,0.541
2,13,27,-2.686,0.396
2,13,28,-1.589,0.668
2,13,29,-2.303,0.493
2,13,30,-1.463,0.542
2,13,31,-1.517,0.521
2,14,15,-1.485,0.643
2,14,16,-2.778,0.624
2,14,17,-1.804,0.674
2,14,18,-2.744,0.431
2,14,19,-2.372,0.396
2,14,20,-2.429,0.572
2,14,21,-2.569,0.499
2,14,22,-3.254,0.482
2,14,23,-1.625,0.455
2,14,24,-1.428,0.469
2,14,25,-2.042,0.489
2,14,26,-0.835,0.575
2,14,27,-3.273,0.378
2,14,28,-2.128,0.664
2,14,29,-3.363,0.487
2,14,30,-2.369,0.504
2,14,31,-2.512,0.482
2,15,16,-1.413,0.756
2,15,17,-1.145,0.665
2,15,18,-1.38,0.651
2,15,19,-0.58,0.778
2,15,20,-1.006,0.752
2,15,21,-1.138,0.624
2,15,22,-1.728,0.62
2,15,23,-0.703,0.619
2,15,24,-0.821,0.657
2,15,25,-1.146,0.645
2,15,26,-0.664,0.639
2,15,27,-2.147,0.631
2,15,28,-1.32,0.72
2,15,29,-1.39,0.628
2,15,30,-1.104,0.619
2,15,31,-1.254,0.619
2,16,17,-1.256,0.705
2,16,18,-2.114,0.683
2,16,19,-1.851,0.588
2,16,20,-1.881,0.667
2,16,21,-2.186,0.693
2,16,22,-2.823,0.692
2,16,23,-1.318,0.626
2,16,24,-1.282,0.728
2,16,25,-2.094,0.599
2,16,26,-0.663,0.728
2,16,27,-4.11,0.607
2,16,28,-2.603,0.676
2,16,29,-2.737,0.683
2,16,30,-1.85,0.659
2,16,31,-2.117,0.655
2,17,18,-0.987,0.705
2,17,19,-0.64,0.759
2,17,20,-1.087,0.698
2,17,21,-0.99,0.64
2,17,22,-1.481,0.639
2,17,23,-0.517,0.691
2,17,24,-0.533,0.726
2,17,25,-1.002,0.645
2,17,26,0.073,0.69
2,17,27,-3.597,0.639
2,17,28,-1.592,0.722
